count,streamType,tag,time,values
806107,2,20,1551454773,1007.60004
806107,2,8,1551454773,0.52;86.0
806107,2,19,1551454773,32.66
806107,2,15,1551454773,37.300003;100.0
806107,2,26,1551454773,13.333334
806107,2,10,1551454773,1.0;57.0
806107,2,119,1551454773,31.13
806106,2,71,1551454772,0.0
806106,2,13,1551454772,21.86422;100.0
806106,2,6,1551454772,65.0;86.0
806106,2,66,1551454772,1.5686275
806106,2,12,1551454772,17.0;96.0
806106,2,9,1551454772,2.3529413
806106,2,25,1551454772,45.09804
806106,2,70,1551454772,1.62;86.0
806106,2,23,1551454772,0.0
806106,2,11,1551454772,56.0;54.0
806106,2,7,1551454772,60.0;0.0
806106,2,21,1551454772,21.0
806106,2,22,1551454772,43.92157
806106,2,118,1551454772,32.78
806106,2,24,1551454772,0.0
806106,2,20,1551454772,1007.7
806106,2,8,1551454772,0.52;86.0
806106,2,19,1551454772,32.66
806106,2,15,1551454772,37.300003;100.0
806106,2,26,1551454772,13.333334
806106,2,10,1551454772,1.0;57.0
806106,2,119,1551454772,31.25
806105,2,71,1551454771,0.0
806105,2,13,1551454771,21.86422;100.0
806105,2,6,1551454771,65.0;86.0
806105,2,66,1551454771,1.5686275
806105,2,12,1551454771,17.0;96.0
806105,2,9,1551454771,1.5686275
806105,2,25,1551454771,45.09804
806105,2,70,1551454771,1.5799999;86.0
806105,2,23,1551454771,0.0
806105,2,11,1551454771,56.0;54.0
806105,2,7,1551454771,60.0;0.0
806105,2,21,1551454771,21.0
806105,2,22,1551454771,43.92157
806105,2,118,1551454771,32.78
806105,2,24,1551454771,0.0
806105,2,20,1551454771,1007.60004
806105,2,8,1551454771,0.53999996;86.0
806105,2,19,1551454771,32.66
806105,2,15,1551454771,37.300003;100.0
806105,2,26,1551454771,13.333334
806105,2,10,1551454771,1.0;57.0
806105,2,119,1551454771,31.189999
806104,2,71,1551454770,0.0
806104,2,13,1551454770,21.86422;100.0
806104,2,6,1551454770,65.0;86.0
806104,2,66,1551454770,1.5686275
806104,2,12,1551454770,17.0;96.0
806104,2,9,1551454770,0.78431374
806104,2,25,1551454770,45.09804
806104,2,70,1551454770,1.56;86.0
806104,2,23,1551454770,0.0
806104,2,11,1551454770,56.0;54.0
806104,2,7,1551454770,60.0;0.0
806104,2,21,1551454770,21.0
806104,2,22,1551454770,43.92157
806104,2,118,1551454770,32.78
806104,2,24,1551454770,0.0
806104,2,20,1551454770,1007.8
806104,2,8,1551454770,0.53999996;86.0
806104,2,19,1551454770,32.66
806104,2,15,1551454770,37.300003;100.0
806104,2,26,1551454770,13.333334
806104,2,10,1551454770,1.0;57.0
806104,2,119,1551454770,31.25
806103,2,71,1551454769,0.0
806103,2,13,1551454769,21.86422;100.0
806103,2,6,1551454769,65.0;86.0
806103,2,66,1551454769,1.5686275
806103,2,12,1551454769,17.0;96.0
806103,2,9,1551454769,1.1764706
806103,2,25,1551454769,45.09804
806103,2,70,1551454769,1.52;86.0
806103,2,23,1551454769,0.0
806103,2,11,1551454769,56.0;54.0
806103,2,7,1551454769,60.0;0.0
806103,2,21,1551454769,21.0
806103,2,22,1551454769,43.92157
806103,2,118,1551454769,32.78
806103,2,24,1551454769,0.0
806103,2,20,1551454769,1007.60004
806103,2,8,1551454769,0.53999996;86.0
806103,2,19,1551454769,32.66
806103,2,15,1551454769,37.300003;100.0
806103,2,26,1551454769,13.333334
806103,2,10,1551454769,1.0;57.0
806103,2,119,1551454769,31.189999
806102,2,71,1551454768,0.0
806102,2,13,1551454768,21.86422;100.0
806102,2,6,1551454768,65.0;86.0
806102,2,66,1551454768,1.5686275
806102,2,12,1551454768,17.0;96.0
806102,2,9,1551454768,3.137255
806102,2,25,1551454768,45.09804
806102,2,70,1551454768,1.52;86.0
806102,2,23,1551454768,0.0
806102,2,11,1551454768,56.0;54.0
806102,2,7,1551454768,60.0;0.0
806102,2,21,1551454768,21.0
806102,2,22,1551454768,43.92157
806102,2,118,1551454768,32.809998
806102,2,24,1551454768,0.0
806102,2,20,1551454768,1007.8
806102,2,8,1551454768,0.53999996;86.0
806102,2,19,1551454768,32.66
806102,2,15,1551454768,37.300003;100.0
806102,2,26,1551454768,13.333334
806102,2,10,1551454768,1.0;57.0
806102,2,119,1551454768,31.25
806101,2,71,1551454767,0.0
806101,2,13,1551454767,21.86422;100.0
806101,2,6,1551454767,65.0;86.0
806101,2,66,1551454767,1.5686275
806101,2,12,1551454767,17.0;96.0
806101,2,9,1551454767,2.745098
806101,2,25,1551454767,45.09804
806101,2,70,1551454767,1.5;86.0
806101,2,23,1551454767,0.0
806101,2,11,1551454767,56.0;54.0
806101,2,7,1551454767,60.0;0.0
806101,2,21,1551454767,21.0
806101,2,22,1551454767,43.92157
806101,2,118,1551454767,32.84
806101,2,24,1551454767,0.0
806101,2,20,1551454767,1008.10004
806101,2,8,1551454767,0.53999996;86.0
806101,2,19,1551454767,32.66
806101,2,15,1551454767,37.300003;100.0
806101,2,26,1551454767,13.333334
806101,2,10,1551454767,1.0;57.0
806101,2,119,1551454767,31.38
806100,2,71,1551454766,0.0
806100,2,13,1551454766,21.86422;100.0
806100,2,6,1551454766,65.0;85.0
806100,2,66,1551454766,1.5686275
806100,2,12,1551454766,17.0;96.0
806100,2,9,1551454766,1.5686275
806100,2,25,1551454766,45.09804
806100,2,70,1551454766,1.4599999;85.0
806100,2,23,1551454766,0.0
806100,2,11,1551454766,56.0;54.0
806100,2,7,1551454766,60.0;0.0
806100,2,21,1551454766,21.0
806100,2,22,1551454766,43.92157
806100,2,118,1551454766,32.91
806100,2,24,1551454766,0.0
806100,2,20,1551454766,1007.10004
806100,2,8,1551454766,0.56;85.0
806100,2,19,1551454766,32.66
806100,2,15,1551454766,37.300003;100.0
806100,2,26,1551454766,13.333334
806100,2,10,1551454766,1.0;57.0
806100,2,119,1551454766,31.06
806099,2,71,1551454765,0.0
806099,2,13,1551454765,21.86422;100.0
806099,2,6,1551454765,63.0;88.0
806099,2,66,1551454765,1.5686275
806099,2,12,1551454765,17.0;96.0
806099,2,9,1551454765,0.78431374
806099,2,25,1551454765,45.09804
806099,2,70,1551454765,1.48;88.0
806099,2,23,1551454765,0.0
806099,2,11,1551454765,56.0;54.0
806099,2,7,1551454765,60.0;0.0
806099,2,21,1551454765,21.0
806099,2,22,1551454765,43.92157
806099,2,118,1551454765,32.91
806099,2,24,1551454765,0.0
806099,2,20,1551454765,1007.60004
806099,2,8,1551454765,0.56;88.0
806099,2,19,1551454765,32.66
806099,2,15,1551454765,37.300003;100.0
806099,2,26,1551454765,13.333334
806099,2,10,1551454765,1.0;57.0
806099,2,119,1551454765,31.189999
806098,2,71,1551454764,0.0
806098,2,13,1551454764,21.86422;100.0
806098,2,6,1551454764,63.0;88.0
806098,2,66,1551454764,1.5686275
806098,2,12,1551454764,17.0;96.0
806098,2,9,1551454764,0.78431374
806098,2,25,1551454764,45.09804
806098,2,70,1551454764,1.48;88.0
806098,2,23,1551454764,0.0
806098,2,11,1551454764,57.0;54.0
806098,2,7,1551454764,60.0;0.0
806098,2,21,1551454764,21.0
806098,2,22,1551454764,43.92157
806098,2,118,1551454764,32.809998
806098,2,24,1551454764,0.0
806098,2,20,1551454764,1007.8
806098,2,8,1551454764,0.56;88.0
806098,2,19,1551454764,32.63
806098,2,15,1551454764,37.300003;100.0
