count,streamType,tag,time,values
786686,4,14,1551454505,817.0;15.0
786688,4,14,1551454506,745.0;15.0
786687,4,14,1551454506,780.0;15.0
786689,4,14,1551454507,768.0;13.0
786690,4,14,1551454508,777.0;12.0
786692,4,14,1551454509,675.0;15.0
786691,4,14,1551454509,707.0;13.0
786693,4,14,1551454510,678.0;12.0
786695,4,14,1551454511,810.0;12.0
786694,4,14,1551454511,730.0;12.0
786696,4,14,1551454512,881.0;13.0
786697,4,14,1551454513,944.0;12.0
786698,4,14,1551454514,943.0;12.0
786699,4,14,1551454515,857.0;12.0
786700,4,14,1551454516,820.0;10.0
786701,4,14,1551454517,861.0;11.0
786703,4,14,1551454518,814.0;13.0
786702,4,14,1551454518,793.0;11.0
786704,4,14,1551454519,791.0;12.0
786705,4,14,1551454520,844.0;10.0
786646,4,14,1551454470,874.0;11.0
786647,4,14,1551454471,960.0;15.0
786648,4,14,1551454472,963.0;10.0
786649,4,14,1551454473,786.0;11.0
786650,4,14,1551454474,860.0;9.0
786651,4,14,1551454475,866.0;10.0
786653,4,14,1551454476,844.0;10.0
786652,4,14,1551454476,909.0;11.0
786654,4,14,1551454477,957.0;9.0
786655,4,14,1551454478,1035.0;15.0
786656,4,14,1551454479,921.0;11.0
786657,4,14,1551454480,923.0;11.0
786658,4,14,1551454481,914.0;10.0
786659,4,14,1551454482,884.0;11.0
786660,4,14,1551454483,833.0;10.0
786661,4,14,1551454484,891.0;11.0
786662,4,14,1551454485,940.0;11.0
786664,4,14,1551454486,782.0;12.0
786663,4,14,1551454486,849.0;11.0
786665,4,14,1551454487,787.0;12.0
786666,4,14,1551454488,828.0;15.0
786668,4,14,1551454489,793.0;12.0
786667,4,14,1551454489,765.0;11.0
786669,4,14,1551454490,811.0;10.0
786670,4,14,1551454491,872.0;10.0
786671,4,14,1551454492,776.0;8.0
786672,4,14,1551454493,780.0;12.0
786674,4,14,1551454494,826.0;10.0
786673,4,14,1551454494,840.0;11.0
786616,4,14,1551454444,850.0;11.0
786615,4,14,1551454444,882.0;11.0
786617,4,14,1551454445,963.0;10.0
786618,4,14,1551454446,966.0;11.0
786619,4,14,1551454447,930.0;9.0
786620,4,14,1551454448,854.0;10.0
786621,4,14,1551454449,815.0;11.0
786622,4,14,1551454450,738.0;12.0
786624,4,14,1551454451,797.0;11.0
786623,4,14,1551454451,765.0;11.0
786625,4,14,1551454452,879.0;11.0
786626,4,14,1551454453,780.0;12.0
786627,4,14,1551454454,781.0;11.0
786629,4,14,1551454455,917.0;11.0
786628,4,14,1551454455,804.0;10.0
786630,4,14,1551454456,809.0;11.0
786631,4,14,1551454457,855.0;12.0
786632,4,14,1551454458,864.0;12.0
786633,4,14,1551454459,764.0;13.0
786635,4,14,1551454460,816.0;12.0
786634,4,14,1551454460,805.0;10.0
786636,4,14,1551454461,768.0;11.0
786637,4,14,1551454462,830.0;12.0
786638,4,14,1551454463,960.0;11.0
786639,4,14,1551454464,846.0;11.0
786640,4,14,1551454465,891.0;11.0
786641,4,14,1551454466,968.0;10.0
786643,4,14,1551454467,919.0;10.0
786642,4,14,1551454467,878.0;11.0
786644,4,14,1551454468,960.0;10.0
786645,4,14,1551454469,912.0;13.0
786586,4,14,1551454418,829.0;13.0
786587,4,14,1551454419,830.0;12.0
786588,4,14,1551454420,867.0;10.0
786589,4,14,1551454421,894.0;12.0
786590,4,14,1551454422,804.0;12.0
786591,4,14,1551454423,960.0;11.0
786593,4,14,1551454424,886.0;12.0
786592,4,14,1551454424,1017.0;12.0
786595,4,14,1551454426,892.0;12.0
786594,4,14,1551454426,1004.0;11.0
786596,4,14,1551454427,805.0;15.0
786597,4,14,1551454428,853.0;12.0
786598,4,14,1551454429,864.0;12.0
786599,4,14,1551454430,810.0;11.0
786601,4,14,1551454431,793.0;10.0
786600,4,14,1551454431,780.0;12.0
786602,4,14,1551454432,943.0;10.0
786603,4,14,1551454433,931.0;12.0
786604,4,14,1551454434,883.0;13.0
786605,4,14,1551454435,873.0;15.0
786606,4,14,1551454436,934.0;13.0
786607,4,14,1551454437,873.0;11.0
786609,4,14,1551454438,886.0;9.0
786608,4,14,1551454438,860.0;11.0
786610,4,14,1551454439,940.0;10.0
786611,4,14,1551454440,863.0;11.0
786612,4,14,1551454441,801.0;11.0
786613,4,14,1551454442,809.0;11.0
786614,4,14,1551454443,869.0;15.0
786557,4,14,1551454392,1059.0;12.0
786558,4,14,1551454393,961.0;12.0
786559,4,14,1551454394,975.0;11.0
786560,4,14,1551454395,1022.0;10.0
786561,4,14,1551454396,982.0;10.0
786562,4,14,1551454397,992.0;9.0
786563,4,14,1551454398,1059.0;10.0
786564,4,14,1551454399,1011.0;13.0
786565,4,14,1551454400,963.0;10.0
786567,4,14,1551454401,875.0;11.0
786566,4,14,1551454401,941.0;11.0
786568,4,14,1551454402,917.0;13.0
786569,4,14,1551454403,1025.0;11.0
786570,4,14,1551454404,863.0;12.0
786571,4,14,1551454405,893.0;9.0
786572,4,14,1551454406,932.0;15.0
786573,4,14,1551454407,815.0;15.0
786574,4,14,1551454408,831.0;11.0
786575,4,14,1551454409,834.0;11.0
786577,4,14,1551454410,804.0;13.0
786576,4,14,1551454410,915.0;13.0
786578,4,14,1551454411,883.0;12.0
786579,4,14,1551454412,928.0;12.0
786580,4,14,1551454413,915.0;15.0
786581,4,14,1551454414,887.0;12.0
786582,4,14,1551454415,883.0;11.0
786584,4,14,1551454416,855.0;10.0
786583,4,14,1551454416,783.0;15.0
786585,4,14,1551454417,960.0;11.0
786528,4,14,1551454366,809.0;11.0
786529,4,14,1551454367,944.0;10.0
786530,4,14,1551454368,846.0;9.0
786532,4,14,1551454369,807.0;11.0
786531,4,14,1551454369,753.0;12.0
786533,4,14,1551454370,871.0;11.0
786534,4,14,1551454371,812.0;11.0
786535,4,14,1551454372,862.0;11.0
786536,4,14,1551454373,888.0;12.0
786538,4,14,1551454374,781.0;13.0
786537,4,14,1551454374,803.0;12.0
786539,4,14,1551454375,783.0;12.0
786540,4,14,1551454376,730.0;12.0
786541,4,14,1551454377,728.0;15.0
786542,4,14,1551454378,929.0;15.0
786543,4,14,1551454379,1038.0;12.0
786544,4,14,1551454380,981.0;11.0
786545,4,14,1551454381,935.0;11.0
786547,4,14,1551454382,864.0;12.0
786546,4,14,1551454382,939.0;11.0
786548,4,14,1551454383,894.0;11.0
786549,4,14,1551454384,845.0;11.0
786550,4,14,1551454385,802.0;13.0
786551,4,14,1551454386,859.0;15.0
786552,4,14,1551454387,925.0;11.0
786553,4,14,1551454388,899.0;15.0
786554,4,14,1551454389,1039.0;13.0
786555,4,14,1551454390,1016.0;11.0
786556,4,14,1551454391,992.0;12.0
786498,4,14,1551454340,766.0;12.0
786499,4,14,1551454341,826.0;11.0
786500,4,14,1551454342,864.0;11.0
786501,4,14,1551454343,791.0;11.0
786503,4,14,1551454344,883.0;11.0
786502,4,14,1551454344,851.0;11.0
786504,4,14,1551454345,784.0;10.0
786505,4,14,1551454346,848.0;10.0
786506,4,14,1551454347,862.0;11.0
786507,4,14,1551454348,790.0;11.0
786509,4,14,1551454349,905.0;11.0
786508,4,14,1551454349,860.0;10.0
786510,4,14,1551454350,792.0;11.0
786511,4,14,1551454351,854.0;11.0
786512,4,14,1551454352,898.0;11.0
786513,4,14,1551454353,808.0;10.0
786514,4,14,1551454354,817.0;12.0
786516,4,14,1551454355,901.0;10.0
786515,4,14,1551454355,914.0;8.0
786517,4,14,1551454356,826.0;9.0
786518,4,14,1551454357,875.0;9.0
786519,4,14,1551454358,919.0;8.0
786520,4,14,1551454359,934.0;10.0
786521,4,14,1551454360,930.0;9.0
786522,4,14,1551454361,834.0;10.0
786523,4,14,1551454362,858.0;8.0
786525,4,14,1551454363,888.0;9.0
786524,4,14,1551454363,951.0;9.0
786526,4,14,1551454364,898.0;9.0
